code_neighborhood;name_neighborhood;homens;mulheres;populacao_total;domicilios;rend_mes_med;area_m2
354880705003;Barcelona;4894;5612;10506;3273;1844,54;973205
354880705005;Boa Vista;4357;4905;9262;2761;1240,92;740014
354880705015;Centro;1521;1824;3345;1105;1419,29;883238
354880705012;Cerâmica;4320;5048;9368;2916;1495,64;1236370
354880705001;Fundação;2531;2779;5310;1556;1073,29;1291243
354880705008;Jardim São Caetano;2036;2223;4259;1163;3899,16;884871
354880705007;Mauá;2879;3271;6150;1816;1395,10;941883
354880705006;Nova Gerty;6752;7666;14418;4359;990,57;868477
354880705011;Olímpico;7555;8459;16014;4951;1261,21;1305226
354880705010;Oswaldo Cruz;5936;6887;12823;4081;1466,15;945560
354880705002;Prosperidade;1554;1708;3262;960;968,01;944216
354880705004;Santa Maria;6370;7365;13735;4320;1541,87;1043467
354880705014;Santa Paula;6513;7597;14110;4561;2969,32;1547156
354880705013;Santo Antônio;3964;4504;8468;2808;2958,31;973625
354880705009;São José;4335;4794;9129;2785;1408,65;752346